title,release_year,rating,runtime,summary,popularity,total_reviewers,user_reviews,critic_reviews
Avengers: Infinity War,2018,8.4,2h 29m,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,377,1.1M,4.5K,629
Aliens,1986,8.3,2h 17m,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen... Read all",398,714K,1.4K,212
American Beauty,1999,8.3,R2h 2m,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,163,1.1M,3K,216
Spider-Man: Into the Spider-Verse,2018,8.3,1h 57m,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",494,519K,2.1K,425
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,1h 35m,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","1,236",489K,1K,238
The Dark Knight Rises,2012,8.3,2h 44m,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Selina Kyle, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",447,1.7M,3.7K,567
Oldeuboi,2003,8.3,03RR2h,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",433,575K,1.1K,338
Joker,2019,8.3,82h 2m,A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,216,1.3M,11.3K,701
Amadeus,1984,8.3,2h 40m,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered h... Read all","1,191",400K,714,127
Toy Story,1995,8.3,1h 21m,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,887,987K,753,161
Inglourious Basterds,2009,8.3,2h 33m,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",282,1.4M,2.1K,404
Braveheart,1995,8.3,2h 58m,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,316,1M,1.4K,151
Coco,2017,8.3,1h 45m,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",509,499K,1.3K,418
Das Boot,1981,8.3,2h 29m,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic world of a submariner in World War II.,"1,998",251K,566,112
Top Gun: Maverick,2022,8.3,2h 10m,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ... Read all",18,405K,3.7K,378
Avengers: Endgame,2019,8.3,A3h 1m,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' action... Read all",157,1.1M,9.5K,595
Mononoke-hime,1997,8.3,2h 14m,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, th... Read all","1,913",392K,797,135
Once Upon a Time in America,1984,8.3,3h 49m,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",615,351K,821,133
Good Will Hunting,1997,8.3,R2h 6m,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",364,959K,1K,161
Kimi no na wa.,2016,8.3,1h 46m,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",925,265K,987,244
Requiem for a Dream,2000,8.3,1h 42m,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,351,837K,2.3K,179
Toy Story 3,2010,8.3,1h 43m,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned ... Read all","2,005",831K,967,469
Singin' in the Rain,1952,8.3,1h 43m,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"1,431",242K,777,176
3 Idiots,2009,8.3,2h 50m,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t... Read all",961,398K,923,56
Tengoku to jigoku,1963,8.3,2h 23m,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,,45K,155,103
Star Wars: Episode VI - Return of the Jedi,1983,8.3,2h 11m,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark... Read all",830,1M,953,213
2001: A Space Odyssey,1968,8.3,2h 29m,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 900... Read all",554,665K,2.4K,288
Eternal Sunshine of the Spotless Mind,2004,8.3,1h 48m,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",399,1M,2K,303
Reservoir Dogs,1992,8.3,1h 39m,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",649,1M,1.2K,202
Capharnaüm,2018,8.3,R2h 6m,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.","1,598",89K,472,197
Jagten,2012,8.3,1h 55m,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to... Read all",680,328K,540,384
Citizen Kane,1941,8.3,1h 59m,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","1,622",441K,1.6K,201
Lawrence of Arabia,1962,8.3,3h 38m,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","1,866",293K,749,165
M - Eine Stadt sucht einen Mörder,1931,8.3,1h 57m,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","3,037",158K,411,178
Idi i smotri,1985,8.3,2h 22m,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",917,79K,628,127
North by Northwest,1959,8.2,2h 16m,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","2,145",327K,703,189
Vertigo,1958,8.2,G2h 8m,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply dis... Read all","1,632",401K,1K,187
Le fabuleux destin d'Amélie Poulain,2001,8.2,G2h 2m,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","1,212",754K,1.5K,153
A Clockwork Orange,1971,8.2,2h 16m,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",303,825K,1.7K,165
The Apartment,1960,8.2,d2h 5m,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","3,653",181K,401,239
